nodes;degree;betweenness;closeness;pagerank;status
Fp1;0.1111111111111111;0.11111111111111112;0.21686746987951808;0.06199651894691181;before
Fp2;0.05555555555555555;0.0;0.18;0.03542282324525871;before
F3;0.1111111111111111;0.20915032679738563;0.2647058823529412;0.04993831829549758;before
F4;0.1111111111111111;0.20915032679738563;0.2647058823529412;0.05061206817476012;before
F7;0.05555555555555555;0.0;0.18;0.03549372205773386;before
F8;0.1111111111111111;0.11111111111111112;0.21686746987951808;0.06386032656103385;before
T3;0.05555555555555555;0.0;0.21951219512195122;0.03597788574495525;before
T4;0.05555555555555555;0.0;0.2647058823529412;0.03295305976413168;before
C3;0.1111111111111111;0.11111111111111112;0.27692307692307694;0.05617239995536161;before
C4;0.16666666666666666;0.5686274509803921;0.35294117647058826;0.07755145841220461;before
T5;0.05555555555555555;0.0;0.18556701030927836;0.03772129510509613;before
T6;0.05555555555555555;0.0;0.2465753424657534;0.03289787637173085;before
P3;0.16666666666666666;0.21568627450980393;0.225;0.08571799569407587;before
P4;0.2222222222222222;0.5294117647058824;0.32142857142857145;0.1031095823915475;before
O1;0.05555555555555555;0.0;0.18556701030927836;0.030712685940444538;before
O2;0.05555555555555555;0.0;0.2465753424657534;0.028668321730550443;before
Fz;0.16666666666666666;0.5294117647058824;0.32727272727272727;0.06707537829970787;before
Cz;0.16666666666666666;0.6209150326797386;0.36;0.06863709847691737;before
Pz;0.1111111111111111;0.29411764705882354;0.26865671641791045;0.04548118483208026;before
Fp1;0.05555555555555555;0.0;0.21686746987951808;0.03398181715324828;during
Fp2;0.05555555555555555;0.0;0.1836734693877551;0.03479056573898026;during
F3;0.16666666666666666;0.21568627450980393;0.2727272727272727;0.08369108805018355;during
F4;0.1111111111111111;0.20915032679738563;0.2727272727272727;0.05193680309774311;during
F7;0.05555555555555555;0.0;0.21686746987951808;0.03525587434575084;during
F8;0.1111111111111111;0.11111111111111112;0.2222222222222222;0.06572492925220527;during
T3;0.1111111111111111;0.11111111111111112;0.23684210526315788;0.0628693292664504;during
T4;0.05555555555555555;0.0;0.2647058823529412;0.033664582067916754;during
C3;0.1111111111111111;0.20915032679738563;0.29508196721311475;0.05042402623880031;during
C4;0.16666666666666666;0.542483660130719;0.35294117647058826;0.0761114286168097;during
T5;0.05555555555555555;0.0;0.1935483870967742;0.035405390726902033;during
T6;0.05555555555555555;0.0;0.24;0.0336536525156407;during
P3;0.05555555555555555;0.0;0.20930232558139536;0.03047007475109963;during
P4;0.16666666666666666;0.45098039215686275;0.3103448275862069;0.0787334110534265;during
O1;0.1111111111111111;0.11111111111111112;0.21428571428571427;0.05835931027266508;during
O2;0.05555555555555555;0.0;0.1782178217821782;0.032530513453658004;during
Fz;0.16666666666666666;0.5294117647058824;0.33962264150943394;0.062474500974846955;during
Cz;0.16666666666666666;0.6601307189542484;0.375;0.06334738954641252;during
Pz;0.16666666666666666;0.30718954248366015;0.2608695652173913;0.07657531287725979;during
