nodes;degree;betweenness;closeness;pagerank
Fp1;0.05555555555555555;0.0;0.21951219512195122;0.03562741038761054
Fp2;0.05555555555555555;0.0;0.21951219512195122;0.035204375621902664
F3;0.16666666666666666;0.21568627450980393;0.27692307692307694;0.08405236450775293
F4;0.16666666666666666;0.21568627450980393;0.27692307692307694;0.08419639074897696
F7;0.05555555555555555;0.0;0.21951219512195122;0.03496457176221855
F8;0.05555555555555555;0.0;0.21951219512195122;0.035426821842332035
T3;0.05555555555555555;0.0;0.22784810126582278;0.03458126534556536
T4;0.05555555555555555;0.0;0.27692307692307694;0.032460277465956484
C3;0.1111111111111111;0.11111111111111112;0.2903225806451613;0.05444568433446406
C4;0.16666666666666666;0.5686274509803921;0.375;0.07469251503196124
T5;0.05555555555555555;0.0;0.1836734693877551;0.0370163878002567
T6;0.05555555555555555;0.0;0.2571428571428571;0.03363413952513086
P3;0.1111111111111111;0.11111111111111112;0.2222222222222222;0.06002962822642566
P4;0.2222222222222222;0.542483660130719;0.33962264150943394;0.10324242010394451
O1;0.05555555555555555;0.0;0.21176470588235294;0.031270403164714786
O2;0.1111111111111111;0.11111111111111112;0.2647058823529412;0.05563793417306584
Fz;0.16666666666666666;0.5294117647058824;0.34615384615384615;0.062140297292007624
Cz;0.16666666666666666;0.6209150326797386;0.3829787234042553;0.06376188819897943
Pz;0.1111111111111111;0.20915032679738563;0.2727272727272727;0.04761522446673347
