nodes;degree;betweenness;closeness;pagerank;status
Fp1;0.05555555555555555;0.0;0.21686746987951808;0.0354670845259457;before
Fp2;0.05555555555555555;0.0;0.21686746987951808;0.03501947735719159;before
F3;0.16666666666666666;0.21568627450980393;0.2727272727272727;0.08344224554337622;before
F4;0.16666666666666666;0.21568627450980393;0.2727272727272727;0.08409542438114699;before
F7;0.05555555555555555;0.0;0.21686746987951808;0.03455918389289121;before
F8;0.05555555555555555;0.0;0.21686746987951808;0.03529577017413257;before
T3;0.05555555555555555;0.0;0.2727272727272727;0.03158962165736541;before
T4;0.05555555555555555;0.0;0.225;0.035508139165301836;before
C3;0.16666666666666666;0.5686274509803921;0.3673469387755102;0.07604951791284101;before
C4;0.1111111111111111;0.11111111111111112;0.2857142857142857;0.0546302547660172;before
T5;0.05555555555555555;0.0;0.2535211267605634;0.03286704230240079;before
T6;0.05555555555555555;0.0;0.18947368421052632;0.03748453295999357;before
P3;0.2222222222222222;0.5294117647058824;0.3333333333333333;0.10415908349966124;before
P4;0.16666666666666666;0.21568627450980393;0.23076923076923078;0.08600006139136297;before
O1;0.05555555555555555;0.0;0.2535211267605634;0.028830667620214707;before
O2;0.05555555555555555;0.0;0.18947368421052632;0.03126324725781735;before
Fz;0.16666666666666666;0.5294117647058824;0.33962264150943394;0.06294846798513816;before
Cz;0.16666666666666666;0.6209150326797386;0.375;0.06454118476530556;before
Pz;0.1111111111111111;0.29411764705882354;0.27692307692307694;0.04624899284189543;before
Fp1;0.05555555555555555;0.0;0.20930232558139536;0.03621538639613466;during
Fp2;0.05555555555555555;0.0;0.20930232558139536;0.034990776222836806;during
F3;0.16666666666666666;0.21568627450980393;0.2608695652173913;0.08414774017587624;during
F4;0.16666666666666666;0.21568627450980393;0.2608695652173913;0.08441205979897372;during
F7;0.05555555555555555;0.0;0.20930232558139536;0.03484664936017744;during
F8;0.05555555555555555;0.0;0.20930232558139536;0.035385956315221914;during
T3;0.05555555555555555;0.0;0.2608695652173913;0.031114790038899883;during
T4;0.05555555555555555;0.0;0.21686746987951808;0.03593179330093975;during
C3;0.16666666666666666;0.5686274509803921;0.34615384615384615;0.07510205281922085;during
C4;0.1111111111111111;0.11111111111111112;0.2727272727272727;0.05444402551785686;during
T5;0.05555555555555555;0.0;0.24324324324324326;0.03294475181684032;during
T6;0.05555555555555555;0.0;0.19148936170212766;0.035994755594200886;during
P3;0.16666666666666666;0.5032679738562091;0.3157894736842105;0.07893712969500533;during
P4;0.16666666666666666;0.30718954248366015;0.23376623376623376;0.08296093353882221;during
O1;0.05555555555555555;0.0;0.1651376146788991;0.03268162497253737;during
O2;0.1111111111111111;0.11111111111111112;0.1956521739130435;0.05863483055252096;during
Fz;0.16666666666666666;0.5294117647058824;0.32142857142857145;0.06197392867635429;during
Cz;0.16666666666666666;0.6209150326797386;0.35294117647058826;0.06340856624126166;during
Pz;0.1111111111111111;0.36601307189542487;0.2727272727272727;0.04587224896631867;during
