nodes;degree;betweenness;closeness;pagerank;status
Fp1;0.05555555555555555;0.0;0.21686746987951808;0.035442946938546986;before
Fp2;0.05555555555555555;0.0;0.21686746987951808;0.03498104271678748;before
F3;0.16666666666666666;0.21568627450980393;0.2727272727272727;0.08350602875071242;before
F4;0.16666666666666666;0.21568627450980393;0.2727272727272727;0.08405337404680852;before
F7;0.05555555555555555;0.0;0.21686746987951808;0.0345759240999602;before
F8;0.05555555555555555;0.0;0.21686746987951808;0.0353031417000412;before
T3;0.05555555555555555;0.0;0.2727272727272727;0.031778626508038796;before
T4;0.05555555555555555;0.0;0.225;0.03547348789817537;before
C3;0.16666666666666666;0.5686274509803921;0.3673469387755102;0.0762065365764754;before
C4;0.1111111111111111;0.11111111111111112;0.2857142857142857;0.054572151257989365;before
T5;0.05555555555555555;0.0;0.2535211267605634;0.032823761159438705;before
T6;0.05555555555555555;0.0;0.18947368421052632;0.037442354080544325;before
P3;0.2222222222222222;0.5294117647058824;0.3333333333333333;0.10400009933714707;before
P4;0.16666666666666666;0.21568627450980393;0.23076923076923078;0.08604258897367294;before
O1;0.05555555555555555;0.0;0.2535211267605634;0.028770540270138294;before
O2;0.05555555555555555;0.0;0.18947368421052632;0.031263062240784865;before
Fz;0.16666666666666666;0.5294117647058824;0.33962264150943394;0.062958400742878;before
Cz;0.16666666666666666;0.6209150326797386;0.375;0.06448155488896513;before
Pz;0.1111111111111111;0.29411764705882354;0.27692307692307694;0.046324377812894516;before
Fp1;0.05555555555555555;0.0;0.20930232558139536;0.03617926037645913;during
Fp2;0.05555555555555555;0.0;0.20930232558139536;0.034979480195779476;during
F3;0.16666666666666666;0.21568627450980393;0.2608695652173913;0.08423294892171068;during
F4;0.16666666666666666;0.21568627450980393;0.2608695652173913;0.08434431136867791;during
F7;0.05555555555555555;0.0;0.20930232558139536;0.03488929851461073;during
F8;0.05555555555555555;0.0;0.20930232558139536;0.03534595464527017;during
T3;0.05555555555555555;0.0;0.2608695652173913;0.031351059192121486;during
T4;0.05555555555555555;0.0;0.21686746987951808;0.03594196501842972;during
C3;0.16666666666666666;0.5686274509803921;0.34615384615384615;0.07526573473904444;during
C4;0.1111111111111111;0.11111111111111112;0.2727272727272727;0.054386678067296204;during
T5;0.05555555555555555;0.0;0.24324324324324326;0.03295252215973282;during
T6;0.05555555555555555;0.0;0.19148936170212766;0.035913205033606385;during
P3;0.16666666666666666;0.5032679738562091;0.3157894736842105;0.0788568682409974;during
P4;0.16666666666666666;0.30718954248366015;0.23376623376623376;0.0828938114255065;during
O1;0.05555555555555555;0.0;0.1651376146788991;0.032680507158176865;during
O2;0.1111111111111111;0.11111111111111112;0.1956521739130435;0.058685125494160204;during
Fz;0.16666666666666666;0.5294117647058824;0.32142857142857145;0.06198744347504062;during
Cz;0.16666666666666666;0.6209150326797386;0.35294117647058826;0.0632931664366956;during
Pz;0.1111111111111111;0.36601307189542487;0.2727272727272727;0.045820659536683475;during
