subject;nodes;degree;betweenness;closeness;pagerank;count_quality
Subject00;Fp1;0.2222222222222222;0.542483660130719;0.25;0.09149770068455913;B
Subject00;Fp2;0.1111111111111111;0.11111111111111112;0.20689655172413793;0.052704877358814725;B
Subject00;F3;0.1111111111111111;0.20915032679738563;0.21176470588235294;0.04803177420663092;B
Subject00;F4;0.1111111111111111;0.5228758169934641;0.28125;0.047957880273413966;B
Subject00;F7;0.05555555555555555;0.0;0.20224719101123595;0.03982508163145629;B
Subject00;F8;0.05555555555555555;0.0;0.17307692307692307;0.03731753240279587;B
Subject00;T3;0.05555555555555555;0.0;0.15384615384615385;0.04026755859874427;B
Subject00;T4;0.16666666666666666;0.542483660130719;0.2727272727272727;0.07444660175713706;B
Subject00;C3;0.1111111111111111;0.11111111111111112;0.18;0.06886785408619195;B
Subject00;C4;0.16666666666666666;0.5816993464052288;0.2857142857142857;0.08444884743931488;B
Subject00;T5;0.05555555555555555;0.0;0.16363636363636364;0.03515313599180794;B
Subject00;T6;0.05555555555555555;0.0;0.21686746987951808;0.028638942107135995;B
Subject00;P3;0.16666666666666666;0.30718954248366015;0.1935483870967742;0.08163972880765996;B
Subject00;P4;0.1111111111111111;0.42483660130718953;0.2465753424657534;0.05093758159545329;B
Subject00;O1;0.1111111111111111;0.11111111111111112;0.16666666666666666;0.06250025029801243;B
Subject00;O2;0.05555555555555555;0.0;0.144;0.035970094643374674;B
Subject00;Fz;0.1111111111111111;0.5032679738562091;0.26865671641791045;0.03967295976653676;B
Subject00;Cz;0.05555555555555555;0.0;0.225;0.03377330138805325;B
Subject00;Pz;0.1111111111111111;0.36601307189542487;0.21951219512195122;0.04634829696290621;B
Subject01;Fp1;0.16666666666666666;0.21568627450980393;0.24324324324324326;0.07113098463175015;G
Subject01;Fp2;0.05555555555555555;0.0;0.1978021978021978;0.027081122331323763;G
Subject01;F3;0.16666666666666666;0.38562091503267976;0.29508196721311475;0.08489031219419485;G
Subject01;F4;0.05555555555555555;0.0;0.2608695652173913;0.024541255149336236;G
Subject01;F7;0.05555555555555555;0.0;0.1978021978021978;0.023287193852432317;G
Subject01;F8;0.05555555555555555;0.0;0.23076923076923078;0.043752206065838795;G
Subject01;T3;0.1111111111111111;0.11111111111111112;0.24;0.06716885778459061;G
Subject01;T4;0.05555555555555555;0.0;0.26865671641791045;0.03131029285835508;G
Subject01;C3;0.1111111111111111;0.20915032679738563;0.3;0.054881526088710136;G
Subject01;C4;0.2222222222222222;0.5751633986928105;0.36;0.10637246494607411;G
Subject01;T5;0.05555555555555555;0.0;0.1956521739130435;0.03868537184744923;G
Subject01;T6;0.05555555555555555;0.0;0.26865671641791045;0.03472919280428406;G
Subject01;P3;0.1111111111111111;0.20915032679738563;0.25;0.06098006811942637;G
Subject01;P4;0.16666666666666666;0.38562091503267976;0.3050847457627119;0.0734480447106648;G
Subject01;O1;0.1111111111111111;0.11111111111111112;0.20689655172413793;0.06450125446111371;G
Subject01;O2;0.05555555555555555;0.0;0.23684210526315788;0.0221010878925939;G
Subject01;Fz;0.16666666666666666;0.5032679738562091;0.34615384615384615;0.06535116192289415;G
Subject01;Cz;0.16666666666666666;0.6601307189542484;0.3829787234042553;0.07117992000882636;G
Subject01;Pz;0.05555555555555555;0.0;0.17307692307692307;0.0346076823301409;G
Subject02;Fp1;0.05555555555555555;0.0;0.2465753424657534;0.04021370426572998;G
Subject02;Fp2;0.3333333333333333;0.7908496732026145;0.45;0.1464281325009267;G
Subject02;F3;0.05555555555555555;0.0;0.25;0.03019826268812617;G
Subject02;F4;0.05555555555555555;0.0;0.3157894736842105;0.028837323632468406;G
Subject02;F7;0.05555555555555555;0.0;0.20930232558139536;0.03979912317083485;G
Subject02;F8;0.05555555555555555;0.0;0.3157894736842105;0.03327426373448969;G
Subject02;T3;0.05555555555555555;0.0;0.20930232558139536;0.03255453889861308;G
Subject02;T4;0.1111111111111111;0.11111111111111112;0.32727272727272727;0.060239909448102424;G
Subject02;C3;0.16666666666666666;0.21568627450980393;0.2608695652173913;0.08485756691960926;G
Subject02;C4;0.1111111111111111;0.42483660130718953;0.3829787234042553;0.03855768172283341;G
Subject02;T5;0.05555555555555555;0.0;0.24;0.031656387561055224;G
Subject02;T6;0.05555555555555555;0.0;0.25;0.0357952202538937;G
Subject02;P3;0.16666666666666666;0.30718954248366015;0.3103448275862069;0.07537363257027521;G
Subject02;P4;0.05555555555555555;0.0;0.28125;0.025919647265508126;G
